Code,Food name in English,Nom d’aliment en français,Yield factor / Factor de rendement,Source
01_007,"Maize, yellow, whole kernel, boiled* (without salt), drained","Maïs, jaune, grain entier, bouilli* (sans sel), égoutté",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_133,"Oats, porridge* (without salt)","Avoine, bouillie* (sans sel)",5.78,"Matthews and Garrison, 1975 (1551 Oats, rolled, cooked - 1 part cereal in 2 to 2 1/4 parts water for 5 min.)"
01_132,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (as part of a recipe)","Mil à chandelle, mélange de variétés, grains entiers, (Burkina Faso), bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_064,"Pearl millet, combined varieties, whole grains (Burkina Faso), boiled* (without salt), drained","Mil à chandelle, mélange de variétés, grains entiers, (Burkina Faso), bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_131,"Pearl millet, decorticated, boiled* (as part of a recipe)","Mil à chandelle, décortiqué, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_130,"Pearl millet, decorticated, boiled* (without salt), drained","Mil à chandelle, décortiqué, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_129,"Pearl millet, whole grains, boiled* (as part of a recipe)","Mil à chandelle, grain entier, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_033,"Pearl millet, whole grains, boiled* (without salt), drained","Mil à chandelle, grain entier, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_061,"Porridge, soft, from degermed white maize grit* (without salt)","Bouillie, liquide, de gruau de maïs blanc dégermé* (sans sel)",7.3,SA10(4405)
01_056,"Porridge, soft, from degermed yellow maize grit* (without salt)","Bouillie, liquide, de gruau de maïs jaune dégermé* (sans sel)",7.3,SA10(4405)
01_154,"Porridge, soft, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, liquide, de farine de maïs blanc raffinée (spécial), enrichie en vitamine A (Nigéria)* (sans sel)",7.3,SA10(4405)
01_112,"Porridge, soft, from refined (special) white maize flour, unfortified* (without salt)","Bouillie, liquide, de farine de maïs blanc raffinée (spécial), non enrichie* (sans sel)",7.3,SA10(4405)
01_117,"Porridge, soft, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, liquide, de farine de maïs blanc raffinée (super), enrichie en vitamine A (Nigéria)* (sans sel)",7.3,SA10(4405)
01_115,"Porridge, soft, from refined (super) white maize flour, unfortified* (without salt)","Bouillie, liquide, de farine de maïs blanc raffinée (super), non enrichie* (sans sel)",7.3,SA10(4405)
01_110,"Porridge, soft, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)","Bouillie, liquide, de farine de maïs blanc tamisée, enrichie en vitamine A (Nigéria)* (sans sel)",7.3,SA10(4405)
01_108,"Porridge, soft, from sifted white maize meal, unfortified* (without salt)","Bouillie, liquide, de farine de maïs blanc tamisée, non enrichie* (sans sel)",7.3,SA10(4405)
01_106,"Porridge, soft, from wholegrain white maize meal* (without salt)","Bouillie, liquide, de farine de maïs blanc complète* (sans sel)",7.3,SA10(4405)
01_122,"Porridge, soft, from wholegrain yellow maize meal* (without salt)","Bouillie, liquide, de farine de maïs jaune complète* (sans sel)",7.3,SA10(4405)
01_076,"Porridge, stiff, from degermed white maize grit* (without salt)","Bouillie, épaisse, de gruau de maïs blanc dégermé* (sans sel)",2.7,SA10(4406)
01_075,"Porridge, stiff, from degermed yellow maize grit* (without salt)","Bouillie, épaisse, de gruau de maïs jaune dégermé* (sans sel)",2.7,SA10(4406)
01_113,"Porridge, stiff, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, épaisse, de farine de maïs blanc raffinée (spécial), enrichie en vitamine A (Nigéria)* (sans sel)",2.7,SA10(4406)
01_111,"Porridge, stiff, from refined (special) white maize flour, unfortified* (without salt)","Bouillie, épaisse, de farine de maïs blanc raffinée (spécial), non enrichie* (sans sel)",2.7,SA10(4406)
01_116,"Porridge, stiff, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, épaisse, de farine de maïs blanc raffinée (super), enrichie en vitamine A (Nigéria)* (sans sel)",2.7,SA10(4406)
01_114,"Porridge, stiff, from refined (super) white maize flour, unfortified* (without salt)","Bouillie, épaisse, de farine de maïs blanc raffinée (super), non enrichie* (sans sel)",2.7,SA10(4406)
01_109,"Porridge, stiff, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)","Bouillie, épaisse, de farine de maïs blanc raffinée tamisée, enrichie en vitamine A (Nigéria)* (sans sel)",2.7,SA10(4406)
01_107,"Porridge, stiff, from sifted white maize meal, unfortified* (without salt)","Bouillie, épaisse, de farine de maïs blanc tamisée, non enrichie* (sans sel)",2.7,SA10(4406)
01_105,"Porridge, stiff, from wholegrain white maize meal* (without salt)","Bouillie, épaisse, de farine de maïs blanc complète* (sans sel)",2.7,SA10(4406)
01_121,"Porridge, stiff, from wholegrain yellow maize meal* (without salt)","Bouillie, épaisse, de farine de maïs jaune complète* (sans sel)",2.7,SA10(4406)
01_150,"Porridge, tô, from degermed white maize grit* (without salt)","Bouillie, tô, de gruau de maïs blanc dégermé* (sans sel)",5.0,Own measurement (Tô)
01_155,"Porridge, tô, from degermed yellow maize grit* (without salt)","Bouillie, tô, de gruau de maïs jaune dégermé* (sans sel)",5.0,Own measurement (Tô)
01_147,"Porridge, tô, from refined (special) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, tô, de farine de maïs blanc raffinée (spécial), enrichie en vitamine A (Nigéria)* (sans sel)",5.0,Own measurement (Tô)
01_146,"Porridge, tô, from refined (special) white maize flour, unfortified* (without salt)","Bouillie, tô, de farine de maïs blanc raffinée (spécial), non enrichie* (sans sel)",5.0,Own measurement (Tô)
01_149,"Porridge, tô, from refined (super) white maize flour fortified with vitamin A (Nigeria)* (without salt)","Bouillie, tô, de farine de maïs blanc raffinée (super), enrichie en vitamine A (Nigéria)* (sans sel)",5.0,Own measurement (Tô)
01_148,"Porridge, tô, from refined (super) white maize flour, unfortified* (without salt)","Bouillie, tô, de farine de maïs blanc raffinée (super), non enrichie* (sans sel)",5.0,Own measurement (Tô)
01_144,"Porridge, tô, from sifted white maize meal fortified with vitamin A (Nigeria)* (without salt)","Bouillie, tô, de farine de maïs blanc tamisée, enrichie en vitamine A (Nigéria)* (sans sel)",5.0,Own measurement (Tô)
01_145,"Porridge, tô, from sifted white maize meal, unfortified* (without salt)","Bouillie, tô, de farine de maïs blanc tamisée, non enrichie* (sans sel)",5.0,Own measurement (Tô)
01_143,"Porridge, tô, from wholegrain white maize meal* (without salt)","Bouillie, tô, de farine de maïs blanc complète* (sans sel)",5.0,Own measurement (Tô)
01_151,"Porridge, tô, from wholegrain yellow maize meal* (without salt)","Bouillie, tô, de farine de maïs jaune complète* (sans sel)",5.0,Own measurement (Tô)
01_152,"Rice, brown, boiled* (as part of a recipe)","Riz, brun, bouilli* (ingrédient de recette)",2.5,"Bergström, 1994 (Rice, brown, boiled)"
01_035,"Rice, brown, boiled* (without salt), drained","Riz, brun, bouilli* (sans sel), égoutté",2.5,"Bergström, 1994 (Rice, brown, boiled)"
01_136,"Rice, red native, hulled, boiled* (as part of a recipe)","Riz, rouge, indigène, décortiqué, bouilli* (ingrédient de recette)",2.5,"Bergström, 1994 (Rice, brown, boiled)"
01_066,"Rice, red native, hulled, boiled* (without salt), drained","Riz, rouge, indigène, décortiqué, bouilli* (sans sel), égoutté",2.5,"Bergström, 1994 (Rice, brown, boiled)"
01_137,"Rice, red native, milled, boiled* (as part of a recipe)","Riz, rouge, indigène, blanchi, bouilli* (ingrédient de recette)",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_068,"Rice, red native, milled, boiled* (without salt), drained","Riz, rouge, indigène, blanchi, bouilli* (sans sel), égoutté",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_135,"Rice, white, boiled* (as part of a recipe)","Riz, blanc, bouilli* (ingrédient de recette)",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_038,"Rice, white, boiled* (without salt), drained","Riz, blanc, bouilli* (sans sel), égoutté",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_134,"Rice, white, polished, boiled* (as part of a recipe)","Riz, blanc, poli, bouilli* (ingrédient de recette)",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_069,"Rice, white, polished, boiled* (without salt), drained","Riz, blanc, poli, bouilli* (sans sel), égoutté",2.98,"Bognár, 2002 (Rice, long corn, polished, boiled)"
01_138,"Sorghum, whole grains, boiled* (as part of a recipe)","Sorgho, grains entiers, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_042,"Sorghum, whole grains, boiled* (without salt), drained","Sorgho, grains entiers, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_139,"Sorghum, whole grains, red, boiled* (as part of a recipe)","Sorgho, grains entiers, rouge, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_070,"Sorghum, whole grains, red, boiled* (without salt), drained","Sorgho, grains entiers, rouge, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_140,"Sorghum, whole grains, white, boiled* (as part of a recipe)","Sorgho, grains entiers, blanc, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_071,"Sorghum, whole grains, white, boiled* (without salt), drained","Sorgho, grains entiers, blanc, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled)"
01_186,"Teff, whole grains, boiled* (as part of a recipe)","Teff, grains entiers, bouilli* (ingrédient de recette)",1.78,"Bognár, 2002 (Wheat, whole, boiled, stewed)"
01_185,"Teff, whole grains, boiled* (without salt), drained","Teff, grains entiers, bouilli* (sans sel), égoutté",1.78,"Bognár, 2002 (Wheat, whole, boiled, stewed)"
01_142,"Wheat, whole grains, boiled* (as part of a recipe)","Blé, grains entiers, bouilli* (ingrédient de recette)",1.78,"Bognár, 2002 (Wheat, whole, boiled, stewed)"
01_141,"Wheat, whole grains, boiled* (without salt), drained","Blé, grains entiers, bouilli* (sans sel), égoutté",1.78,"Bognár, 2002 (Wheat, whole, boiled, stewed)"
"Starchy roots, tubers and their products/Racines amylacées, tubercules et produits dérivés",,,,
02_051,"Cassava, tuber, white flesh, boiled* (as part of a recipe)","Manioc, tubercule, chair blanche, bouilli* (ingrédient de recette)",1.17,"KEN18(02023 Cassava, root, white, peeled, boiled with pressure, drained)"
02_003,"Cassava, tuber, white flesh, boiled* (without salt), drained","Manioc, tubercule, chair blanche, bouilli* (sans sel), égoutté",1.17,"KEN18(02023 Cassava, root, white, peeled, boiled with pressure, drained)"
02_053,"Cassava, tuber, yellow flesh, boiled* (as part of a recipe)","Manioc, tubercule, chair jaune, bouilli* (ingrédient de recette)",1.17,"KEN18(02023 Cassava, root, white, peeled, boiled with pressure, drained)"
02_052,"Cassava, tuber, yellow flesh, boiled* (without salt), drained","Manioc, tubercule, chair jaune, bouilli* (sans sel), égoutté",1.17,"KEN18(02023 Cassava, root, white, peeled, boiled with pressure, drained)"
02_054,"Cocoyam, tuber, white, boiled* (as part of a recipe)","Chou caraïbe, tubercule, blanc, bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_006,"Cocoyam, tuber, white, boiled* (without salt), drained","Chou caraïbe, tubercule, blanc, bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_056,"Cocoyam, tuber, yellow, boiled* (as part of a recipe)","Chou caraïbe, tubercule, jaune, bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_055,"Cocoyam, tuber, yellow, boiled* (without salt), drained","Chou caraïbe, tubercule, jaune, bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_058,"Plantain, ripe, ivory flesh, boiled* (as part of a recipe)","Banane plantain, mûre, chair ivoire, bouillie* (ingrédient de recette)",1.05,UK6 (Calc. from 13323 and 13324)
02_057,"Plantain, ripe, ivory flesh, boiled* (without salt), drained","Banane plantain, mûre, chair ivoire, bouillie* (sans sel), égouttée",1.05,UK6 (Calc. from 13323 and 13324)
02_060,"Plantain, ripe, orange flesh, boiled* (as part of a recipe)","Banane plantain, mûre, chair orange, bouillie* (ingrédient de recette)",1.05,UK6 (Calc. from 13323 and 13324)
02_059,"Plantain, ripe, orange flesh, boiled* (without salt), drained","Banane plantain, mûre, chair orange, bouillie* (sans sel), égouttée",1.05,UK6 (Calc. from 13323 and 13324)
02_065,"Plantain, unripe, ivory flesh, boiled* (as part of a recipe)","Banane plantain, verte, chair ivoire, bouillie* (ingrédient de recette)",1.05,UK6 (Calc. from 13323 and 13324)
02_064,"Plantain, unripe, ivory flesh, boiled* (without salt), drained","Banane plantain, verte, chair ivoire, bouillie* (sans sel), égouttée",1.05,UK6 (Calc. from 13323 and 13324)
02_067,"Plantain, unripe, orange flesh, boiled* (as part of a recipe)","Banane plantain, verte, chair orange, bouillie* (ingrédient de recette)",1.05,UK6 (Calc. from 13323 and 13324)
02_066,"Plantain, unripe, orange flesh, boiled* (without salt), drained","Banane plantain, verte, chair orange, bouillie* (sans sel), égouttée",1.05,UK6 (Calc. from 13323 and 13324)
02_063,"Plantain, unripe, pale flesh, boiled* (as part of a recipe)","Banane plantain, verte, chair claire, bouillie* (ingrédient de recette)",1.05,UK6 (Calc. from 13323 and 13324)
02_062,"Plantain, unripe, pale flesh, boiled* (without salt), drained","Banane plantain, verte, chair claire, bouillie* (sans sel), égouttée",1.05,UK6 (Calc. from 13323 and 13324)
02_068,"Potato, boiled* (as part of a recipe)","Pomme de terre, bouillie* (ingrédient de recette)",1.0,"Bognár, 2002 (Potato, without peel, boiled)"
02_010,"Potato, boiled* (without salt), drained","Pomme de terre, bouillie* (sans sel), égouttée",1.0,"Bognár, 2002 (Potato, without peel, boiled)"
02_070,"Sweet potato, deep yellow flesh, boiled* (as part of a recipe)","Patate douce, chair jaune foncé, bouillie* (ingrédient de recette)",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_012,"Sweet potato, deep yellow flesh, boiled* (without salt), drained","Patate douce, chair jaune foncé, bouillie* (sans sel), égouttée",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_073,"Sweet potato, orange flesh, boiled* (as part of a recipe)","Patate douce, chair orange, bouillie* (ingrédient de recette)",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_072,"Sweet potato, orange flesh, boiled* (without salt), drained","Patate douce, chair orange, bouillie* (sans sel), égouttée",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_069,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (as part of a recipe)","Patate douce, chair claire (blanche/crème/jaune pâle), bouillie* (ingrédient de recette)",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_023,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (without salt), drained","Patate douce, chair claire (blanche/crème/jaune pâle), bouillie* (sans sel), égouttée",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_071,"Sweet potato, yellow flesh, boiled* (as part of a recipe)","Patate douce, chair jaune, bouillie* (ingrédient de recette)",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_014,"Sweet potato, yellow flesh, boiled* (without salt), drained","Patate douce, chair jaune, bouillie* (sans sel), égouttée",1.0,"Matthews and Garrison, 1975 (2500 Sweet potatoes, boiled or steamed)"
02_074,"Taro, tuber, white, boiled* (as part of a recipe)","Taro, tubercule, blanc, bouilli* (ingrédient de recette)",1.01,"Matthews and Garrison, 1975 (2528 Taro, boiled)"
02_016,"Taro, tuber, white, boiled* (without salt), drained","Taro, tubercule, blanc, bouilli* (sans sel), égoutté",1.01,"Matthews and Garrison, 1975 (2528 Taro, boiled)"
02_075,"Tiger nut, tuber, boiled* (as part of a recipe)","Souchet comestible (« noix tigrée »), tubercule, bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_025,"Tiger nut, tuber, boiled* (without salt), drained","Souchet comestible (« noix tigrée »), tubercule, bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_076,"Water yam, tuber, boiled* (as part of a recipe)","Grande igname, tubercule, bouillie* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_018,"Water yam, tuber, boiled* (without salt), drained","Grande igname, tubercule, bouillie* (sans sel), égouttée",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_078,"Yam, tuber, combined cultivars (Nigeria), boiled* (as part of a recipe)","Igname, tubercule, cultivars combinés (Nigéria), bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_035,"Yam, tuber, combined cultivars (Nigeria), boiled* (without salt), drained","Igname, tubercule, cultivars combinés (Nigéria), bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_077,"Yam, tuber, pale, boiled* (as part of a recipe)","Igname, tubercule, chair pâle, bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_020,"Yam, tuber, pale, boiled* (without salt), drained","Igname, tubercule, chair pâle, bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_080,"Yam, tuber, three-leaved, pale, boiled* (as part of a recipe)","Igname, tubercule, à trois feuilles, chair pâle, bouilli* (ingrédient de recette)",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
02_079,"Yam, tuber, three-leaved, pale, boiled* (without salt, drained)","Igname, tubercule, à trois feuilles, chair pâle, bouilli* (sans sel), égoutté",0.95,"Bognár, 2002 (Root and tuber vegetables, boiled)"
Legumes and their products/Légumineuses et produits dérivés,,,,
03_063,"African locust bean, not soaked, boiled* (without salt), drained","Néré, non trempé, bouilli* (sans sel), égoutté",2.61,uPulses (average of original YF for all pulses)
03_064,"African locust bean, not soaked, boiled* (without salt), with cooking liquid","Néré, non trempé, bouilli* (sans sel), avec liquide de cuisson",4.13,uPulses (average of original YF for all pulses)
03_065,"African locust bean, soaked, boiled in different water* (without salt), drained","Néré, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.3,uPulses (average of original YF for all pulses)
03_066,"African locust bean, soaked, boiled in different water* (without salt), with cooking liquid","Néré, trempé, bouilli dans différentes eaux* (sans sel), avec liquide de cuisson",3.2,uPulses (average of original YF for all pulses)
03_011,"African yam bean, not soaked, boiled* (without salt), drained","Haricot igname, non trempé, bouilli* (sans sel), égoutté",2.61,uPulses (average of original YF for all pulses)
03_060,"African yam bean, not soaked, boiled* (without salt), with cooking liquid","Haricot igname, non trempé, bouilli* (sans sel), avec liquide de cuisson",4.13,uPulses (average of original YF for all pulses)
03_061,"African yam bean, soaked, boiled in different water* (without salt), drained","Haricot igname, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.3,uPulses (average of original YF for all pulses)
03_062,"African yam bean, soaked, boiled in different water* (without salt), with cooking liquid","Haricot igname, trempé, bouilli dans différentes eaux* (sans sel), avec liquide de cuisson",3.2,uPulses (average of original YF for all pulses)
03_019,"Bambara groundnut, combined varieties (Ghana), not soaked, boiled* (without salt), drained","Pois bambara, mélange de variétés (Ghana), non trempé, bouilli* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_071,"Bambara groundnut, combined varieties (Ghana), soaked, boiled in different water* (without salt), drained","Pois bambara, mélange de variétés (Ghana), trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_012,"Bambara groundnut, not soaked, boiled* (without salt), drained","Pois bambara, non trempé, bouilli* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_020,"Bambara groundnut, red, not soaked, boiled* (without salt), drained","Pois bambara, rouge, non trempé, bouilli* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_074,"Bambara groundnut, red, soaked, boiled in different water* (without salt), drained","Pois bambara, rouge, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_068,"Bambara groundnut, soaked, boiled in different water* (without salt), drained","Pois bambara, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_021,"Bambara groundnut, white, not soaked, boiled* (without salt), drained","Pois bambara, blanc, non trempé, bouilli* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_077,"Bambara groundnut, white, soaked, boiled in different water* (without salt), drained","Pois bambara, blanc, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.0,Own measurement (Bambara groundnuts boiled with potash)
03_023,"Bean, white, not soaked, boiled* (without salt), drained","Haricot blanc, non trempé, bouilli* (sans sel), égoutté",2.6,uPulses (PHV019)
03_079,"Bean, white, not soaked, boiled* (without salt), with cooking liquid","Haricot blanc, non trempé, bouilli* (sans sel), avec liquide de cuisson",4.33,uPulses (PHV020)
03_081,"Bean, white, soaked, boiled in different water* (without salt), drained","Haricot blanc, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.6,uPulses (PHV019)
03_082,"Bean, white, soaked, boiled in different water* (without salt), with cooking liquid","Haricot blanc, trempé, bouilli dans différentes eaux* (sans sel), avec liquide de cuisson",4.33,uPulses (PHV020)
03_025,"Broad bean, not soaked, boiled* (without salt), drained","Fève, non trempée, bouillie* (sans sel), égouttée",2.8,"US28(Calc. from 16052 Broadbeans (fava beans), mature seeds, raw; 16053 Broadbeans (fava beans), mature seeds, cooked, boiled, without salt)"
03_083,"Broad bean, not soaked, boiled* (without salt), with cooking liquid","Fève, non trempée, bouillie* (sans sel), avec liquide de cuisson",4.6,uPulses (VIF004)
03_084,"Broad bean, soaked, boiled in different water* (without salt), drained","Fève, trempée, bouillie dans différentes eaux* (sans sel), égouttée",2.8,"US28(Calc. from 16052 Broadbeans (fava beans), mature seeds, raw; 16053 Broadbeans (fava beans), mature seeds, cooked, boiled, without salt)"
03_085,"Broad bean, soaked, boiled in different water* (without salt), with cooking liquid","Fève, trempée, bouillie dans différentes eaux* (sans sel), avec liquide de cuisson",4.6,uPulses (VIF004)
03_026,"Cowpea, black, not soaked, boiled* (without salt), drained","Niébé, noir, non trempé, bouilli* (sans sel), égoutté",2.67,uPulses (VUN005)
03_092,"Cowpea, black, not soaked, boiled* (without salt), with cooking liquid","Niébé, noir, non trempé, bouilli* (sans sel), avec liquide de cuisson",4.42,uPulses (VUN006)
03_093,"Cowpea, black, soaked, boiled in different water* (without salt), drained","Niébé, noir, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.67,uPulses (VUN005)
03_094,"Cowpea, black, soaked, boiled in different water* (without salt), with cooking liquid","Niébé, noir, trempé, bouilli dans différentes eaux* (sans sel), avec liquide de cuisson",4.42,uPulses (VUN006)
03_028,"Cowpea, brown, not soaked, boiled* (without salt), drained","Niébé, brun, non trempé, bouilli* (sans sel), égoutté",2.67,uPulses (VUN005)
03_095,"Cowpea, brown, not soaked, boiled* (without salt), with cooking liquid","Niébé, brun, non trempé, bouilli* (sans sel), avec liquide de cuisson",4.42,uPulses (VUN006)
03_096,"Cowpea, brown, soaked, boiled in different water* (without salt), drained","Niébé, brun, trempé, bouilli dans différentes eaux* (sans sel), égoutté",2.67,uPulses (VUN005)
03_097,"Cowpea, brown, soaked, boiled in different water* (without salt), with cooking liquid","Niébé, brun, trempé, bouilli dans différentes eaux* (sans sel), avec liquide de cuisson",4.42,uPulses (VUN006)
