BiblioID,Reference
4V,"Onyeike, E.N. & Acheru, G.N. 2002. Chemical composition of selected Nigerian oil seeds and physicochemical properties of the oil extracts. Food Chemistry, 77(4): 431–437."
05FG,"Borges, M.T.M.R. 2003. Potencial vitamínico da banana verde e produtos derivados. Faculdade de Engenharia de Alimentos, University of Campinas. (PhD dissertation)"
5B,"Souci, S.W., Fachmann, W. & Kraut, H. 2008. Food Composition and Nutrition Tables, 7th edition. Stuttgart, Germany, MedPharm."
5E,"Massenon, A. 1994. Characterization of some maize varieties cultivated in Benin and assessment of physico-chemical properties of first processing products. Thesis in Agricultural Engineering. Department of Nutrition and Food Sciences (DNSA), Faculty of Agricultural Sciences (FSA), University of Abomey-Calavi . (Dissertation)"
5fBIO,"Chaira, N., Mrabet, A. & Ferchichi, A. 2009. Evaluation of antioxidant activity, phenolics, sugar and mineral contents in date palm fruits. Journal of Food Biochemistry, 33(3): 390–403."
5GH,"Chijindu, E.N. & Boateng, B.A. 2008. Effect of nutritional content of processed cassava chips on development of Prostephanus truncatus. World Journal of Agricultural Sciences, 4(3): 404–408."
5N,"Oboh, G., Ademiluyi, A.O. & Akindahunsi, A.A. 2010. The effect of roasting on the nutritional and antioxidant properties of yellow and white maize varieties. International Journal of Food Science and Technology, 45(6): 1236–1242."
5R,"Somda, M. 2008. Mémoire de DEA. Unite de Formation et de Recherche en Sciences de la Vie et de la Terre (UFR-SVT), University of Ouagadougou. (Dissertation)"
5V,"Akpanabiatu, M. I., Ekpa, O. D., Mauro, A. & Rizzo, R. 2001. Nutrient composition of Nigerian palm kernel from the dura and tenera varieties of the oil palm (Elaeis guineensis). Food Chemistry, 72(2): 173–177."
06FG,"Yuyama, L.K.O., Macedo, S.H.M., Yonekura, L., Aguiar, J.P.L. & Yuyama, K. 2000. Perfil nutricional das diversas formas de consumo de banana (Musa parasidiaca, variedade pacovã) da Amazônia Brasileira. Acta Amazonica, 30(4): 677–680."
6B,"Ndong, M., Wade, S., Dossou, N., Guiro, A.T. & Gning, R.D. 2007. Valeur nutritionnelle du Moringa Oleifera, Étude de la biodisponibilité du fer, effet de l’enrichissement de divers plats traditionnels sénégalais avec la poudre des feuilles. African Journal of Food, Agriculture, Nutrition and Development, 7(3): 1–17."
6GH,"Lamptey, A. D., Sakyi-Dawson, E., Torgbor, P.N.J. & Annor, G.A. 2008. Effects of different processing methods on the nutritional composition and cyanogen content of flour from cassava varieties in Ghana. Journal of Root Crops, 34(2): 157–163."
6m,"Mehaia, M.A., Hablas, M.A., Abdel-Rahman K.M. & El-Mouhy, S.A. 1995. Milk composition of Majaheim, Wadah and Hamra camels in Saudi Arabia. Food Chemistry. 52(2): 115–122."
6N,"Ndiaye, C. 2007. Final report of proximate composition and mineral analysis of commonly consumed staple foods in Nigeria. Ibadan, Nigeria, Food Basket Foundation International."
07FG,"Laurie, S.M., van Jaarsveld, P.J., Faber, M., Philpott, M.F. & Labuschagne, M.T. 2012. Trans-β-carotene, selected mineral content and potential nutritional contribution of 12 sweet potato varieties. Journal of Food Composition and Analysis, 27(2)."
7B,"Technologie Alimentaire. 2002. Table de composition de dix produits alimentaires sénégalais, complément rapport [online]. Dakar, Institut de Technologie Alimentaire. [Accessed April 2010]. http://www.ita.sn/"
7E,"Hongbete, F. 2001. Upgrading of Afitin technology: improvement of the fermentation process and development of taste raising product. Thesis in Agricultural Engineering. Department of Nutrition and Food Sciences (DNSA), Faculty of Agricultural Sciences (FSA), University of Abomey-Calavi. (Dissertation)"
7GH,"Eshun, G. 2009. Baseline Data on the Nutrient Content and Physicochemical Properties of Selected Varieties of Soybean, Groundnut and Rice for the Development of Nutritious, Energy-Dense Diets. Department of Biochemistry and Biotechnology, Kwame Nkrumah University of Science and Technology. (Dissertation)"
7m,"Elamin, F.M. & Wilcox, C.J. 1992. Milk composition of Majaheim camels. Journal of Dairy Science, 75(11): 3155–3157."
7N,"Ojimelukwe, P.C. 1999. Cooking characteristics of four cultivars of bambara groundnuts seeds and starch isolate. Journal of Food Biochemistry, 23(1): 109–117."
8B,"Tall, A. 2000. Contribution à l’étude de l’activité anti-inflammatoire du décocté lyophilisé des racines de Moringa oleifera (Moringaceae). Doctoral Thesis in Pharmacy. Faculté de Médecine et Pharmacie, Cheikh Anta Diop University. (PhD dissertation)"
8E,"Chabi China, L.A. 2000. Study of Lafou Production in Benin. National University of Benin. (Dissertation)"
8GH,"Watson, J.D. 1977. Chemical composition of some less commonly used legumes in Ghana. Food Chemistry, 2(4): 267–271."
8R,"Millogo, V. 2010. Milk production of hand milked dairy cattle in Burkina Faso. Doctoral Thesis No. 2010:4. Swedish University of Agricultural Sciences. (PhD dissertation)"
9B,"Sene, A. 1993. Contribution à l’étude de la composition chimique des fleurs de Tamarindus indica L (Caesalpinaceae), utilisées dans l’alimentation des séreres. Doctoral Thesis in Pharmacy. Faculté de Médecine et Pharmacie, Cheikh Anta Diop University. (PhD dissertation)"
9m,"Wangoh, J., Farah, Z. & Puhan, Z. 1998. Composition of milk from three camel (Camelus dromedarius) breeds in Kenya during lactation. Milchwissenschaft 53(3): 136–139."
9N,"Gernah, D.I., Atolagbe, M.O. & Echegwo, C.C. 2007. Nutritional composition of the African locust bean (Parkia biglobosa) fruit pulp. Nigerian Food Journal, 25(1): 190–196."
10B,"Ndiayel, L. 1993. Contribution à l’étude de l’activité anti-drépanocytaire du Ficus gnaphalocarpa (Miq.) Stend. Doctoral Thesis in Pharmacy. Faculté de Médecine et Pharmacie. (PhD dissertation)"
10E,"Achigan-Dako, E., Pasquini, M., Assogba-Comlan, F., Sognigbé, N., Dansi, A. & Ambrose-Oji, B. 2009. Traditional vegetables in Benin: Diversity, distribution, ecology, agronomy and utilisation. Darwin Initiative, INRAB, IFS. Cotonou, Benin, Institut National Des Recherches Agricoles."
10N,"Yusuf, A.A., Ayedun, H. & Sanni, L.O. 2008. Chemical composition and functional properties of raw and roasted Nigerian benniseed (Sesamum indicum) and bambara groundnut (Vigna subterranean). Food Chemistry, 111(2): 277–282."
10V,"Enujiugha, V.N. 2003. Supplementation of ogi, a maize-based infant weaning food, with African oil bean seed (Pentaclethra macrophylla Benth). International Journal of Postharvest Technology and Innovation, 1(2): 202–211."
11E,"Drame, A. & Keita, A. 1998. Table de composition chimique des aliments consommés en Guinée. Gamal Abdel Nasser University of Conakry. (Dissertation)"
12B,"Perisse, J., Le Berre, S., Bergeret, B. & Masseyeff, R. 1957. Tables de Composition de Quelques Aliments Tropicaux. Travail des Sections de Nutrition de l’Office de la Recherche Scientifique et Technique Outre-Mer. Annales de la Nutrition et de l’Alimentation, XI(5)."
12E,"Touré, F. 2000. Effect of fish and shrimp on iodine bioavailability in cassava and millet-based staple food in Guinea. Oklahoma State University. (MSc dissertation)"
12R,"Dabire, D.B. 2002. Analyse biochimique et microbiologique des yaourts et laits fermentés. Unite de Formation et de Recherche en Sciences de la Vie et de la Terre (UFR-SVT), University of Ouagadougou. (Dissertation)"
13E,"Diallo, T.I. 2003. Détermination de la composition chimique et évaluation de la valeur énérgétique du fruit de Annona muricata. Gamal Abdel Nasser University of Conakry. (Dissertation)"
13R,"Ouandaogo, G.Z. 2003. Caractérisation physico-chimique et contrôle microbiologique du lait cru livré à Faso Kossam en saison des pluies. Unite de Formation et de Recherche en Sciences de la Vie et de la Terre (UFR-SVT), University of Ouagadougou. (Dissertation)"
13V,"Obasi, N.E. & Wogu, C.O. 2008. Effect of soaking time on proximate and mineral compositions and anti-nutritional factors of yellow maize (Zea mays). Nigerian Food Journal, 26(2): 69–77."
14E,"Jean Mathos, K. 2008. Evaluation de la teneur en plomb dans les légumes et feuilles d’oignon cultivés dans la région de Conakry. Gamal Abdel Nasser University of Conakry. (Dissertation)"
15B,"Lamien-Meda, A., Lamien, C.E., Compaoré, M.M.Y., Meda, R.N.T., Kiendrebeogo, M., Zeba, M., Millogo, J.F. & Nacoulma, O.G. 2008. Polyphenol Content and Antioxidant Activity of Fourteen Wild Edible Fruits from Burkina Faso. Molecules, 13: 581–594."
15GH,"Hemans, F.D. 2002. Extraction of Soluble Solids from Cola Nuts. NFS 94-08-F. Department of Nutrition and Food Science, University of Ghana. (BSc dissertation)"
15N,"Ene-Obong, H.N. & Carnovale E. 1992. A comparison of the proximate, mineral and amino acid composition of some known and lesser known legumes in Nigeria. Food Chemistry, 43(3): 169–175."
16GH,"Krow, M. 1996. Mineralogy of traditional table salt in Ghana. NFS 96-15-F. Department of Nutrition and Food Science, University of Ghana. (BSc dissertation)"
16N,"Igbedioh, S.O., Olugbemi, K.T. & Akpapunam, M.A. 1994. Effects of processing methods on phytic acid level and some constituents in Bambara groundnut (Vigna subterranea) and pigeon pea (Cajanus cajan). Food Chemistry, 50(2): 147–151."
16V,"Oguntona, E.B. & Akinyele, I.O. 1995. Nutrient composition of commonly eaten foods in Nigeria – Raw, processed and prepared. Food Basket Foundation Publication Series. Ibadan, Nigeria, Food Basket Foundation. 131 pp."
17fBIO,"Bartolomé, A.P., Rupérez, P. & Fúster, C. 1995. Pineapple fruit: Morphological characteristics, chemical composition and sensory analysis of Red Spanish and Smooth Cayenne cultivars. Food Chemistry, 53(1): 75–79"
18N,"Dashak, D.A. & Pali, C.N. 1993. Chemical composition of four varieties of Nigerian benniseed (Sesamum indicum). Food Chemistry, 47(3): 253–255."
18R,"Kabore, D. 2004. Etude des caractéristiques nutritionnelles et technologiques du Tabouchi [Tubercule de Xanthosoma sagittifolium (Schott)]. Unite de Formation et de Recherche en Sciences de la Vie et de la Terre (UFR-SVT), University of Ouagadougou. (Dissertation)"
18V,"Abulude, F.O. 2004. Studies on termites (Macrotermes sp.): proximate composition, mineral contents and functional properties. Advances in Food Sciences, 26(4): 150–154."
19GH,"Eyison, J.K. 1993. Processing of Soymilk – Process and Product Evaluation. NFS 93-13-F. Department of Nutrition and Food Science, University of Ghana. (BSc dissertation)"
19N,"Akintayo, E.T., Adebayo, E.A. & Arogundade, L.A. 2002. Chemical composition, physicochemical and functional properties of akee (Bilphia sapida) pulp and seed flours. Food Chemistry, 77(3): 333–336."
22N,"Adeyeye, E.I., Arogundade, L.A., Akintayo, E.T., Aisida, O.A. & Alao, P.A. 2000. Calcium, zinc and phytate interrelationships in some foods of major consumption in Nigeria. Food Chemistry, 71(4): 435–441."
23N,"Adeyeye, A. & Ajewole, K. 1992. Chemical composition and fatty acid profiles of cereals in Nigeria. Food Chemistry, 44(1): 41–44."
23R,"Sena, L.P., Vanderjagt, D.J., Rivera, C., Tsin, A.T.C., Muhamadu, I., Mahamadou, O., Millson, M., Pastuszyn, A. & Glew, R.H. 1998. Analysis of nutritional components of eight famine foods of the Republic of Niger. Plant Foods for Human Nutrition, 52(1): 17–30."
24N,"Ene-Obong, H.N & Carnovale, E. 1992. Nigerian Soup Condiments: Traditional Processing and Potential as Dietary Fibre Sources. Food Chemistry, 43(1): 29–34. "
25N,"Odebunmi, E.O., Oluwaniyi, O.O. & Bashiru, M.O. 2010. Comparative proximate analysis of some food condiments. Journal of Applied Sciences Research, 6(3): 272–274."
26N,"Adeyeye, E.I. & Fagbohun E.D. 2005. Proximate, mineral and phytate profiles of some selected spices found in Nigeria. Pakistan Journal of Scientific and Industrial Research, 48(1): 14–22."
27N,"Edem, D.O., Eka, O.U. & Ifon, E.T. 1984. Chemical evaluation of nutritive value of the fruit of African starapple (Chrysophyllum albidum). Food Chemistry, 14(4): 303–311."
28N,"Adepoju, O.T. 2009. Proximate composition and micronutrient potentials of three locally available wild fruits in Nigeria. African Journal of Agricultural Research, 4(9): 887–892. "
30R,"Glew, R.H., Glew, R.S., Chuang, L.T., Huang, Y.S., Millson, M., Constans, D. & Vanderjagt, D.J. 2006. Amino acid, mineral and fatty acid content of pumpkin seeds (Cucurbita spp.) and Cyperus esculentus nuts in the Republic of Niger. Plant Foods for Human Nutrition, 61(2): 51–56."
32fBIO,"Boudries, H., Kefalas, P. & Hornero-Méndez, D. 2007. Carotenoid composition of Algerian date varieties (Phoenix dactylifera) at different edible maturation stages. Food Chemistry, 101(4): 1372–1377."
34f,"Al-Farsi, M., Alasalvar, C., Morris, A., Baron, M. & Shahidi, F. 2005. Compositional and sensory characteristics of three native sun-dried date (Phoenix dactylifera L.) varieties grown in Oman. Journal of Agricultural and Food Chemistry, 53(19): 7586–7591."
34N,"Oboh, G., Ekperigin, M.M. & Kazeem, M.I. 2005. Nutritional and haemolytic properties of eggplants (Solanum macrocarpon) leaves. Journal of Food Composition and Analysis, 18(2–3): 153–160."
35N,"Fasakin, K. 2004. Proximate composition of bungu (Ceratotheca sesamoides Endl.) leaves and seeds. Biokemistri, 16(2): 88–92."
39m,"Abu-Lehia, I.H. 1987. Composition of camel milk. Milchwissenschaft, 42(6): 368–371."
136mBIO,"Akinsoyinu, A.O. & Akinyele, I.O. 1979. Major elements in milk of the West African dwarf goats as affected by stage of lactation. Journal of Dairy Research, 46(3): 427–431."
142mBIO,"Mba, A.U., Boyo, B.S. & Oyenuga, V.A. 1975. Studies on the milk composition of West African dwarf, Red Sokoto and Saanen goats at different stages of lactation. I. Total solids, butterfat, solids-not-fat, protein, lactose and energy contents of milk. Journal of Dairy Research, 42(2): 217–226."
Ah2010a,"Ali, A., Adji, B.M., Saidou, C., Yaouba, A. & Tchiegang, C. 2010. Physico-chemical properties and safety of grasshoppers, important contributors to food security in the far North region of Cameroon. Research Journal of Animal Sciences, 4(5): 108–111."
Ar2012,"Abdou Bouba, A., Njintang Yanou, N., Foyet, H.S., Scher, J., Montet, D. & Mbofung, C.M. 2012. Proximate composition, mineral and vitamin content of some wild plants used as spices in Cameroon. Food and Nutrition Science, 3(4): 423–432. "
ASEA,"Puwastien, P., Burlingame, B., Raroengwichit, M. & Sungpuag, P. 2000. ASEAN Food Composition Table. Bangkok, Institute of Nutrition, Mahidol University."
ATREZO,"Atrevy, B.C. & Zohounvo S.M. 2011. Effet des traitements thermiques sur la qualité physico-chimique, microbiologique et nutritionnelle de l’arachide. University of Abomey Calavi."
AU14,Food Standards Australia New Zealand (FSANZ). 2014. AUSNUT 2011–13 – Australian Food Composition Database [online]. Canberra. [Cited December 2018]. http://www.foodstandards.gov.au
BF1001,"Assemand, E., Camara, F., Kouamé, F., Konan, V. & Kouamé, L.P. 2012. Caractérisation biochimique des fruits de plantain (Musa paradisiaca L.) variété « Agnrin » de Côte d’Ivoire et évaluation sensorielle de ses produits dérivés. Journal of Applied Biosciences, 60:4438–4447."
BF1011,"Degbe, Y.K. 2011. Valorisation de quatres plantes alimentaires de la flora togolaise: Valeur nutritionnelle et influence de la cuisson sur les pertes en mineraux. University of Lomé. (Dissertation)"
BF1012,"N’Dri, D.D.Y. 2010. Potentialités nutritionnelles et antioxydantes de certaines plantes alimentaires spontanées et de quelques légumes et céréales cultivés en Côte d’Ivoire. Facoltà di Agraria, University of Parma. (Dissertation)"
BF1018,"Gnanou, F. 2006. Etude de la technologie de transformation et de la qualité nutritionnelle de quelques aliments à base de variétés de mil cultivé au Burkina Faso. University of Ouagadougou. (MSc dissertation)"
BF1020,"Go-Maro, K.W. 2007. Composition chimique et transformation des feuilles de Taro “Xanthosoma sagittifolium” en conserve de ragout. University of Lomé. (Dissertation)"
BF1023,"Greffeuille, V. & Mouquet-Rivier, C., eds., Icard-Vernière, C., Ouattara, L., Avallone, S., Hounhouigan, J., Kayodé, P., Amoussa, W. & Fatoumata, B.H. 2010. Traditional recipes of millet-, sorghum- and maize based dishes and related sauces frequently consumed by young children in Burkina Faso and Benin. European Project INSTAPA. Wageningen, the Netherlands, Wageningen University. 136 pp. (also available at http://www.nutripass.ird.fr/ressources-liens-utiles/ressources)."
BF1044,"Koudougou, K. 2010. Analyses de la valeur nutritive des produits transformés par les unités de transformation soutenues par Afrique Verte. Provisional Report. 36 pp."
BF1050,"Nebie, S. 2013. Composition et caracteristiques physico-chimiques de la pulpe, des graines et des huiles de trois ecotypes de Cucurbita pepo du Burkina Faso. University of Ouagadougou. (MSc dissertation)"
BF1052,"Oboulbiga, B.E. 2013. Contrôle de la qualité physico-chimique des grains, des semoules et des farines de maïs. University of Ouagodougou. (Dissertation)"
BF1054,"Sahoré, A.D., Nemlin, J.G. & Tetchi, A.F. 2016. Study of Physicochemical Properties of Some Traditional Vegetables in Ivory Coast: Seeds of Beilschmiedia mannii (Lauraceae), Seeds of Irvingia gabonensis (Irvingiaceae) and Volvariella volvaceae. Food and Nutrition Sciences, 3: 14–17."
BF1065,"Yaméogo, C.W. 2015. Valorisation nutritionnelle du Moringa pour l’amélioration de la santé. University of Ouagodougou. (Dissertation)"
BF1069,"Zoumenou, V., Aboua, F., Gnakri, D. & Kamenan, A. 1999. Etude des caractéristiques physico-chimiques de certains plats traditionnels dérivés du manioc (foutou, placali et kokondé). Tropicultura, 16–17(3): 120–126."
BF1071,"Acho, C.F., Zoue, L.T., Akpa, E.E., Yapo, V.G. et Niamke, S.L. 2014. Leafy vegetables consumed in Southern Côte d’Ivoire: a source of high value nutrients. Journal of Animal & Plant Sciences, 20(3): 3159–3170."
BF1073,"Zoro, A.F., Zoué, L.T., Adom, N.J. & Niamké, S. 2016. Nutritive and antioxidant properties of shade dried leafy vegetables consumed in Western Côte d’Ivoire. International Journal of Agricultural and Food Science, 6(1): 6–13."
CH02,"Institute of Nutrition and Food Safety. 2002. China food composition: Book 1, 2nd edition. Beijing, Peking University Medical Press."
CK2007,"Kapseu, C., Nde Bup, D., Tchiegang, C., Fon Abi, C., Broto, F. & Parmentier, M. 2007. Effect of particle size and drying temperature on drying rate and oil extracted yields of Buccholzia coreacea (MVAN) and Butyrospermum parhii ENGL. International Journal of Food Science & Technology, 42, 573–578."
CTA,"West, C.E., Pepping, F. & Temalilwa, C.R., eds. 1988. The composition of foods commonly eaten in East Africa. Wageningen, the Netherlands, Wageningen University, and Dar es Salaam, the United Republic of Tanzania, Tanzania Food and Nutrition Centre."
d11BIO,"Inocent, G., Ejoh, R.A., Issa, T.S., Schweigert, F.J. & Tchouanguep, M.F. 2007. Carotenoids content of some locally consumed fruits and yams in Cameroon. Pakistan Journal of Nutrition, 6(5): 497–501."
d13BIO,"Essien, E.U., Esenowo, G.J. & Akpanabiatu, M.I. 1995. Lipid composition of lesser known tropical seeds. Plant Foods for Human Nutrition, 48(2): 135–140. "
d14BIO,"Adeniji, T.A., Sanni, L.O., Barimalaa, I.S. & Hart, A.D. 2007. Nutritional composition of five new Nigerian Musa hybrid cultivars: Implications for adoption in human nutrition. Fruits, 62(3): 135–142."
d3BIO,"Abiodun, O.A. & Oladapo, A.S. 2011. Physico-chemical properties of African star apple (Chrysophylum albidum) components. Nutrition and Food Science, 41(1): 8–11."
d6BIO,"Giami, S.Y., Okonkwo, V.I. & Akusu, M.O. 1994. Chemical composition and functional properties of raw, heat-treated and partially proteolysed wild mango (Irvingia gabonensis) seed flour. Food Chemistry, 49(3): 237–243."
d7BIO,"Ekpe, O.O., Umoh, I.B. & Eka, O.U. 2007. Effect of a typical rural processing method on the proximate composition and amino acid profile of bush mango seeds (Irvingia gabonensis). African Journal of Food, Agriculture, Nutrition and Development, 7(1)."
d8BIO,"Adepoju, O.T. & Karim S.A. 2004. Nutrient composition, anti-nutritional factors and jam preparation from Spondias mombin (hog plum, (Iyeye)) fruit pulp. Nigerian Journal of Nutritional Sciences, 25(1)."
DK2,"Technical University of Denmark (DTU). 2016. Frida Food Data, version 2 [online]. Copenhagen, National Food Institute. [Cited November 2017]. http://frida.fooddata.dk"
dp10BIO,"Wehmeyer, A.S. 1986. Edible wild plants of southern Africa: Data on the nutrient contents of over 300 species [online]. Pretoria, Council for Scientific and Industrial Research (CSIR). [Cited July 2016]. http://researchspace.csir.co.za/dspace/bitstream/10204/2337/1/Wehmeyer_1986.pdf"
dp12BIO,"Ahmed, I.A., Ahmed, A.W.K. & Robinson, R.K. 1995. Chemical composition of date varieties as influenced by the stage of ripening. Food Chemistry, 54(3): 305–309. "
dp13BIO,"Arvanitoyannis, I.S. & Mavromatis, A. 2009. Banana cultivars, cultivation practices, and physicochemical properties. Critical Reviews in Food Science and Nutrition, 49(2): 113–135."
dp24BIO,"Amarteifio, J.O. & Mosase, M.O. 2006. The chemical composition of selected fruits of Botswana. Journal of Applied Sciences and Environmental Management, 10(2): 43–47."
dp2BIO,"Ismail, B., Haffar, I., Mechref, Y., Baalbaki, R. & Henry J. 2006. Physico-chemical characteristics and total quality of five date varieties grown in the United Arab Emirates. International Journal of Food Science and Technology, 41(8): 919–926."
